Job Code,Grade,Salary,Original Hire Date,Run Date,Tenure
11800,3,59009.6,10/29/2002,6/1/2024,7886
11800,3,51168,11/16/2003,6/1/2024,7503
12430,4,63564.8,10/28/2004,6/1/2024,7156
11720,3,57366.4,4/17/2005,6/1/2024,6985
12430,4,45760,5/1/2005,6/1/2024,6971
11570,2,58697.6,5/22/2005,6/1/2024,6950
11760,4,55744,8/24/2005,6/1/2024,6856
12430,4,63564.8,1/25/2006,6/1/2024,6702
11780,3,53809.6,4/24/2006,6/1/2024,6613
11760,4,59030.4,5/10/2006,6/1/2024,6597
11760,4,50897.6,5/17/2006,6/1/2024,6590
11780,3,60715.2,2/7/2007,6/1/2024,6324
16720,4,59446.4,12/3/2007,6/1/2024,6025
11600,1,45032,4/4/2007,6/1/2024,6268
11710,2,47507.2,4/18/2007,6/1/2024,6254
11780,3,53560,4/25/2007,6/1/2024,6247
11800,3,56971.2,5/23/2007,6/1/2024,6219
16750,6,97281.6,8/22/2007,6/1/2024,6128
12430,4,53809.6,11/7/2007,6/1/2024,6051
11800,3,52520,11/7/2007,6/1/2024,6051
11700,3,53643.2,3/19/2008,6/1/2024,5918
11800,3,51646.4,3/21/2008,6/1/2024,5916
11790,2,44720,8/31/2008,6/1/2024,5753
17690,4,68140.8,8/25/2008,6/1/2024,5759
11760,4,53102.4,9/18/2008,6/1/2024,5735
11700,3,52540.8,2/25/2009,6/1/2024,5575
11760,4,61713.6,4/29/2009,6/1/2024,5512
11600,1,43742.4,5/13/2009,6/1/2024,5498
16730,6,85820.8,6/30/2014,6/1/2024,3624
11710,2,47444.8,9/2/2009,6/1/2024,5386
11780,3,56825.6,9/16/2009,6/1/2024,5372
16730,6,68140.8,2/17/2010,6/1/2024,5218
12430,4,54995.2,10/13/2010,6/1/2024,4980
11800,3,51750.4,10/21/2010,6/1/2024,4972
11800,3,54433.6,11/17/2010,6/1/2024,4945
12060,3,54080,6/29/2011,6/1/2024,4721
11570,2,53809.6,7/14/2011,6/1/2024,4706
12730,4,66664,8/31/2011,6/1/2024,4658
11590,3,54267.2,1/18/2012,6/1/2024,4518
11800,3,49795.2,4/11/2012,6/1/2024,4434
11800,3,52104,6/27/2012,6/1/2024,4357
12430,4,57408,9/19/2012,6/1/2024,4273
11760,4,52104,4/24/2013,6/1/2024,4056
11760,4,74256,6/5/2013,6/1/2024,4014
12270,4,56243.2,9/11/2013,6/1/2024,3916
11730,1,43888,1/15/2014,6/1/2024,3790
11800,3,55203.2,7/14/2014,6/1/2024,3610
11780,3,59009.6,12/7/1997,6/1/2024,9673
12430,4,55224,1/26/2015,6/1/2024,3414
11800,3,47985.6,10/19/2011,6/1/2024,4609
12430,4,54392,5/27/2015,6/1/2024,3293
11710,2,44033.6,6/1/2015,6/1/2024,3288
11780,3,50585.6,7/8/2015,6/1/2024,3251
11790,2,44449.6,9/8/2015,6/1/2024,3189
11800,3,53185.6,10/15/2015,6/1/2024,3152
11780,3,54912,12/10/2015,6/1/2024,3096
11780,3,47756.8,12/15/2015,6/1/2024,3091
11710,2,47278.4,1/5/2016,6/1/2024,3070
11800,3,47985.6,1/26/2016,6/1/2024,3049
11700,3,45281.6,2/4/2016,6/1/2024,3040
11800,3,48048,2/23/2016,6/1/2024,3021
11700,3,44200,2/23/2016,6/1/2024,3021
11590,3,54891.2,3/1/2016,6/1/2024,3014
11570,2,52603.2,3/1/2016,6/1/2024,3014
11820,2,46467.2,4/12/2016,6/1/2024,2972
